"2/13/2012 22:12:28",82,47.30,86.11,85.32,80.49,72.50,65.30,60.24
"2/13/2012 22:12:30",82,47.30,86.00,85.32,80.37,72.50,65.30,60.24
"2/13/2012 22:12:36",82,47.30,86.00,85.32,80.37,72.50,65.30,60.24
"2/13/2012 22:12:55",85,47.30,85.77,84.87,79.81,72.27,65.19,60.13
"2/13/2012 22:12:59",85,47.30,85.77,84.87,79.81,72.27,65.07,60.13
"2/13/2012 22:13:1",85,47.30,85.77,84.87,79.93,72.27,65.19,60.13
"2/13/2012 22:13:3",85,47.30,85.77,84.87,79.81,72.39,65.19,60.13
"2/13/2012 22:13:6",85,47.19,85.77,84.76,79.81,72.39,65.41,60.24
"2/13/2012 22:13:9",85,47.19,85.66,84.87,79.81,72.39,65.30,60.24
"2/13/2012 22:13:11",85,47.19,85.66,84.76,79.70,72.39,65.30,60.24
"2/13/2012 22:13:15",85,47.30,85.66,84.76,79.70,72.27,65.41,60.24
"2/13/2012 22:13:19",84,47.30,85.55,84.65,79.59,72.27,65.30,60.35
"2/13/2012 22:13:22",84,47.30,85.55,84.43,79.47,72.27,65.41,60.35
"2/13/2012 22:13:24",84,47.30,85.44,84.43,79.47,72.39,65.30,60.35
"2/13/2012 22:13:28",84,47.30,85.32,84.31,79.47,72.27,65.30,60.35
"2/13/2012 22:13:30",84,47.30,85.32,84.31,79.47,72.27,65.30,60.35
"2/13/2012 22:13:34",84,47.30,85.32,84.20,79.47,72.39,65.30,60.46
"2/13/2012 22:13:37",84,47.30,85.21,84.20,79.47,72.27,65.30,60.46
"2/13/2012 22:13:39",84,47.19,85.10,84.20,79.36,72.27,65.30,60.35
"2/13/2012 22:13:42",83,47.30,85.10,84.20,79.25,72.16,65.30,60.46
"2/13/2012 22:13:45",83,47.19,84.99,84.09,79.25,72.16,65.30,60.46
"2/13/2012 22:13:49",83,47.30,84.99,84.09,79.25,72.05,65.30,60.46
"2/13/2012 22:13:52",83,47.30,84.87,84.09,79.14,72.05,65.19,60.46
"2/13/2012 22:13:54",83,47.30,84.87,83.86,79.14,72.05,65.19,60.46
"2/13/2012 22:13:56",83,47.30,84.76,83.75,79.02,72.05,65.30,60.35
